         model metric     value
         FE+AR   Bias  0.455913
         FE+AR    MAE  0.779964
         FE+AR   RMSE  1.028512
         GP-CP   Bias -0.019066
         GP-CP    MAE  0.620985
         GP-CP   RMSE  0.781621
GP-CP-Extended   Bias -0.019252
GP-CP-Extended    MAE  0.604355
GP-CP-Extended   RMSE  0.763997
